"#Req. Aircraft","Airline","Livery","Ac.Type","Flighttype","Performance class","Registration","Heavy","Ac.Number","Model","Offset","Radius","Home port"
"E90-BAW","BAW","BAW","E90","gate","jet_transport","L-GAV","false","","","","",""
"734-BAW","BAW","BAW","734","gate","jet_transport","L-GAV","false","","","","",""
"767-BAW","BAW","BAW","767","gate","jet_transport","L-GAV","false","","","","",""
"321-IBE","IBE","IBE","321","gate","jet_transport","L-GAV","false","","","","",""
"734-SBI","SBI","SBI","734","gate","jet_transport","L-GAV","false","","","","",""
"320-LAN","LAN","LAN","320","gate","jet_transport","L-GAV","false","","","","",""
"318-LAN","LAN","LAN","318","gate","jet_transport","L-GAV","false","","","","",""
"E70-JAL","JAL","JAL","E70","gate","jet_transport","L-GAV","false","","","","",""
"319-LAN","LAN","LAN","319","gate","jet_transport","L-GAV","false","","","","",""
"767-JAL","JAL","JAL","767","gate","jet_transport","L-GAV","false","","","","",""
"736-MAH","MAH","MAH","736","gate","jet_transport","L-GAV","false","","","","",""
"332-QFA","QFA","QFA","332","gate","jet_transport","L-GAV","false","","","","",""
"340-LAN","LAN","LAN","340","gate","jet_transport","L-GAV","false","","","","",""
"744-QFA","QFA","QFA","744","gate","jet_transport","L-GAV","false","","","","",""
"330-HDA","HDA","HDA","330","gate","jet_transport","L-GAV","false","","","","",""
"773-CPA","CPA","CPA","773","gate","jet_transport","L-GAV","false","","","","",""
"330-FIN","FIN","FIN","330","gate","jet_transport","L-GAV","false","","","","",""
"744-BAW","BAW","BAW","744","gate","jet_transport","L-GAV","false","","","","",""
"777-JAL","JAL","JAL","777","gate","jet_transport","L-GAV","false","","","","",""
"340-IBE","IBE","IBE","340","gate","jet_transport","L-GAV","false","","","","",""
"346-IBE","IBE","IBE","346","gate","jet_transport","L-GAV","false","","","","",""
"73H-MAH","MAH","MAH","73H","gate","jet_transport","L-GAV","false","","","","",""
"321-FIN","FIN","FIN","321","gate","jet_transport","L-GAV","false","","","","",""
